NDB_No,protein,fat,carbon
~13000~,0.8955745341614907,0.10442546583850931,0.0
~13001~,0.4186608653613729,0.581339134638627,0.0
~13002~,0.4366724956282788,0.5633275043717212,0.0
~13019~,0.10379266750948168,0.8962073324905184,0.0
~13020~,0.13151395406273153,0.8684860459372684,0.0
~13023~,0.7222028581387242,0.2568839316835134,0.020913210177762286
~13047~,0.6040435458786936,0.3959564541213063,0.0
~13055~,0.6251618472162278,0.37483815278377214,0.0
~13065~,0.7190782785496442,0.2809217214503558,0.0
~13066~,0.6213726393367112,0.37862736066328884,0.0
~13067~,0.7474226804123711,0.25257731958762886,0.0
~13068~,0.7754373438057837,0.22456265619421636,0.0
~13069~,0.6830814236957582,0.31691857630424186,0.0
~13070~,0.7697841726618705,0.2302158273381295,0.0
~13095~,0.4423951490651845,0.5576048509348156,0.0
~13096~,0.6132902630364558,0.38670973696354405,0.0
~13097~,0.7080548716144917,0.2919451283855083,0.0
~13098~,0.7622063869094747,0.23779361309052519,0.0
~13147~,0.28218694885361556,0.7099745247893396,0.007838526357044876
~13148~,0.33941778127458694,0.660582218725413,0.0
~13149~,0.6427125506072875,0.34379217273954116,0.01349527665317139
~13150~,0.6291675189200245,0.3708324810799754,0.0
~13156~,0.7998357064622125,0.20016429353778747,0.0
~13158~,0.8485639686684073,0.1514360313315927,0.0
~13165~,0.77708082026538,0.22291917973462003,0.0
~13227~,0.849609375,0.150390625,0.0
~13228~,0.8411588411588412,0.15884115884115885,0.0
~13231~,0.7496612466124661,0.25033875338753386,0.0
~13232~,0.7087926172776211,0.2912073827223789,0.0
~13235~,0.7524685052774941,0.24753149472250593,0.0
~13236~,0.7132104853361018,0.2867895146638983,0.0
~13284~,0.7631578947368421,0.23684210526315788,0.0
~13285~,0.7448780487804878,0.2551219512195122,0.0
~13293~,0.7680843329698291,0.2206470374409306,0.011268629589240277
~13294~,0.7543609825560698,0.23175507297970804,0.013883944464222142
~13317~,0.5135918003565063,0.4864081996434938,0.0
~13318~,0.48896893291310217,0.46375506528590726,0.04727600180099054
~13319~,0.4426056338028169,0.5573943661971831,0.0
~13320~,0.49282094594594594,0.44467905405405406,0.0625
~13321~,0.8128440366972476,0.18073394495412842,0.006422018348623854
~13322~,0.8537170263788969,0.14178657074340528,0.0044964028776978415
~13323~,0.8373435996150145,0.14870067372473533,0.013955726660250242
~13324~,0.8543233082706766,0.14567669172932332,0.0
~13325~,0.7302725968436155,0.13020086083213772,0.13952654232424677
~13326~,0.7367620977957943,0.13326577147200405,0.12997213073220168
~13327~,0.7293729372937293,0.12871287128712872,0.1419141914191419
~13328~,0.8663101604278075,0.13368983957219252,0.0
~13329~,0.8464730290456431,0.15352697095435686,0.0
~13330~,0.38893219017926733,0.6110678098207326,0.0
~13331~,0.4577259475218659,0.5422740524781342,0.0
~13332~,0.6117381489841988,0.38826185101580135,0.0
~13333~,0.8591549295774648,0.14084507042253522,0.0
~13334~,0.856655290102389,0.14334470989761092,0.0
~13335~,0.015706806282722512,0.9842931937172775,0.0
~13337~,0.37442360897632954,0.6255763910236705,0.0
~13338~,0.4665812513346146,0.5334187486653854,0.0
~13339~,0.42976636861840206,0.46408999134698586,0.10614364003461206
~13340~,0.46381341668670345,0.5361865833132964,0.0
~13341~,0.7658629441624366,0.23413705583756345,0.0
~13342~,0.3793103448275862,0.6206896551724138,0.0
~13343~,0.8016711722782011,0.198328827721799,0.0
~13344~,0.2403846153846154,0.7461538461538461,0.01346153846153846
~13345~,0.46646795827123694,0.5126676602086437,0.02086438152011922
~13346~,0.4939434724091521,0.5013458950201884,0.0047106325706594895
~13347~,0.48298777246145663,0.5045188729399255,0.012493354598617754
~13349~,0.7897108524220803,0.20315433721366877,0.007134810364250844
~13351~,0.674643584521385,0.32179226069246436,0.003564154786150713
~13352~,0.6591191838765862,0.33391390893257034,0.006966907190843494
~13354~,0.6983416688602264,0.30165833113977364,0.0
