NDB_No,protein,fat,carbon
~15001~,0.8078602620087336,0.19213973799126635,0.0
~15002~,0.7484455958549223,0.25155440414507774,0.0
~15003~,0.8363636363636363,0.16363636363636364,0.0
~15004~,0.8838484546360916,0.11615154536390826,0.0
~15005~,0.8253706754530477,0.17462932454695224,0.0
~15006~,0.9597415506958251,0.04025844930417496,0.0
~15007~,0.68300395256917,0.31699604743083004,0.0
~15008~,0.7609901835253947,0.2390098164746052,0.0
~15009~,0.7612387612387612,0.23876123876123875,0.0
~15010~,0.853125,0.146875,0.0
~15011~,0.4584389254941713,0.33781044095286367,0.203750633552965
~15012~,0.5290322580645161,0.38494623655913973,0.08602150537634409
~15013~,0.9086124401913875,0.09138755980861245,0.0
~15014~,0.5789101203113942,0.42108987968860584,0.0
~15015~,0.9637445887445887,0.036255411255411256,0.0
~15016~,0.9636977627691009,0.03630223723089911,0.0
~15017~,0.9635901778154107,0.03640982218458933,0.0
~15018~,0.9636447307869306,0.036355269213069495,0.0
~15019~,0.9738520408163265,0.026147959183673467,0.0
~15020~,0.8486873508353221,0.1513126491646778,0.0
~15021~,0.47383493881801614,0.32986201510023433,0.19630304608174956
~15022~,0.9649390243902438,0.035060975609756094,0.0
~15023~,0.9635416666666667,0.036458333333333336,0.0
~15024~,0.7805963506898086,0.21940364931019135,0.0
~15025~,0.612624584717608,0.387375415282392,0.0
~15026~,0.6126943005181348,0.38730569948186533,0.0
~15027~,0.2251533742331288,0.3319018404907975,0.44294478527607356
~15028~,0.8654114365411437,0.13458856345885634,0.0
~15029~,0.8654173764906303,0.1345826235093697,0.0
~15030~,0.49807797913234486,0.09500274574409664,0.40691927512355847
~15031~,0.9500000000000001,0.05,0.0
~15032~,0.9502677888293802,0.04973221117061974,0.0
~15033~,0.9731663685152058,0.026833631484794278,0.0
~15034~,0.9732229795520935,0.026777020447906526,0.0
~15035~,0.9633447880870561,0.036655211912943866,0.0
~15036~,0.9331322272498742,0.06686777275012569,0.0
~15037~,0.9333333333333333,0.06666666666666668,0.0
~15038~,0.5093938319744771,0.49060616802552287,0.0
~15039~,0.6651851851851852,0.3348148148148148,0.0
~15040~,0.6652224147891391,0.3347775852108607,0.0
~15041~,0.33923021754721494,0.43031317236433186,0.23045661008845328
~15042~,0.6652232746955345,0.3347767253044655,0.0
~15043~,0.5414601916088536,0.45853980839114633,0.0
~15044~,0.9673968415690269,0.032603158430973,0.0
~15045~,0.9433760683760685,0.05662393162393163,0.0
~15046~,0.5724838411819021,0.42751615881809785,0.0
~15047~,0.572491598655785,0.4275084013442151,0.0
~15048~,0.7863682604272635,0.2136317395727365,0.0
~15049~,0.9102333931777379,0.08976660682226212,0.0
~15050~,0.7178111587982833,0.2821888412017167,0.0
~15051~,0.7538100820633059,0.246189917936694,0.0
~15052~,0.788699431628218,0.21130056837178202,0.0
~15053~,0.7531181217901688,0.24688187820983126,0.0
~15054~,0.905,0.095,0.0
~15055~,0.8362143474503025,0.16378565254969749,0.0
~15056~,0.8361981799797775,0.16380182002022248,0.0
~15057~,0.9086053412462908,0.0913946587537092,0.0
~15058~,0.908243375858685,0.09175662414131501,0.0
~15059~,0.9481481481481482,0.05185185185185185,0.0
~15060~,0.9547021171836533,0.04529788281634663,0.0
~15061~,0.9546850998463902,0.04531490015360983,0.0
~15062~,0.9654135338345864,0.034586466165413526,0.0
~15063~,0.9655846695346109,0.03441533046538913,0.0
~15064~,0.9400785854616897,0.059921414538310416,0.0
~15065~,0.9520078354554359,0.04799216454456415,0.0
~15066~,0.9674603174603175,0.03253968253968254,0.0
~15067~,0.9521492295214923,0.0478507704785077,0.0
~15068~,0.6611806797853309,0.33881932021466904,0.0
~15069~,0.6611777839799051,0.33882221602009494,0.0
~15070~,0.9319796954314721,0.06802030456852792,0.0
~15071~,0.9320754716981132,0.06792452830188679,0.0
~15072~,0.738095238095238,0.2123015873015873,0.0496031746031746
~15073~,0.9590882524839276,0.04091174751607247,0.0
~15074~,0.4670846394984326,0.5329153605015674,0.0
~15075~,0.4670547763958719,0.5329452236041281,0.0
~15076~,0.7578304048892284,0.24216959511077157,0.0
~15077~,0.8088495575221238,0.1911504424778761,0.0
~15078~,0.6564558629776021,0.3435441370223979,0.0
~15079~,0.8423253868674195,0.15767461313258052,0.0
~15080~,0.7957668028221314,0.20423319717786856,0.0
~15081~,0.7847549909255899,0.21524500907441016,0.0
~15082~,0.7848537005163511,0.21514629948364888,0.0
~15083~,0.8232931726907631,0.17670682730923698,0.0
~15084~,0.7983772819472617,0.20162271805273835,0.0
~15085~,0.8259094283593169,0.174090571640683,0.0
~15086~,0.8262090483619345,0.17379095163806554,0.0
~15087~,0.7614590058102001,0.23854099418979985,0.0
~15088~,0.6825616856113114,0.31743831438868864,0.0
~15089~,0.654945054945055,0.3281004709576138,0.01695447409733124
~15090~,0.8736695974086071,0.1263304025913929,0.0
~15091~,0.902104747919726,0.09789525208027411,0.0
~15092~,0.9022527682321497,0.09774723176785033,0.0
~15093~,0.8226044226044226,0.1773955773955774,0.0
~15094~,0.5514657980456026,0.4485342019543974,0.0
~15095~,0.8230678697528442,0.17693213024715573,0.0
~15096~,0.47952613958279683,0.3559103785732681,0.1645634818439351
~15097~,0.8934571175950486,0.10654288240495137,0.0
~15098~,0.9410488245931284,0.05895117540687161,0.0
~15099~,0.8793017456359103,0.12069825436408979,0.0
~15100~,0.8793774319066148,0.1206225680933852,0.0
~15101~,0.9386727688787185,0.06132723112128147,0.0
~15102~,0.9386152748037117,0.06138472519628837,0.0
~15103~,0.7906877402819308,0.2093122597180692,0.0
~15104~,0.7998017839444995,0.2001982160555005,0.0
~15105~,0.7998454404945904,0.20015455950540958,0.0
~15106~,0.8764044943820224,0.12359550561797754,0.0
~15107~,0.8784067085953878,0.12159329140461214,0.0
~15108~,0.9651741293532339,0.03482587064676617,0.0
~15109~,0.6620148277365896,0.03924989097252508,0.2987352812908853
~15110~,0.7472443937666285,0.25275560623337134,0.0
~15111~,0.7472912683237731,0.25270873167622687,0.0
~15112~,0.88339222614841,0.11660777385159012,0.0
~15113~,0.839273474982865,0.16072652501713505,0.0
~15114~,0.7585829072315559,0.24141709276844414,0.0
~15115~,0.8554720133667502,0.14452798663324978,0.0
~15116~,0.7974947807933194,0.20250521920668058,0.0
~15117~,0.826425788168615,0.17357421183138508,0.0
~15118~,0.8264714009394861,0.17352859906051396,0.0
