NDB_No,protein,fat,carbon
~19000~,0.19189034837235866,0.16322101656196458,0.6448886350656768
~19001~,0.05979683736516912,0.29919363284113515,0.6410095297936956
~19013~,0.011560693641618497,0.030982658959537574,0.9574566473988438
~19014~,0.0011248593925759281,0.03374578177727784,0.9651293588301463
~19018~,0.0,0.0,1.0
~19025~,0.09054096147855882,0.20953172048593083,0.6999273180355102
~19029~,0.03027494593759654,0.45412418906394814,0.5156008649984554
~19030~,0.0,0.00030712530712530717,0.9996928746928747
~19064~,0.0171650653136133,0.03573356364028932,0.9471013710460974
~19065~,0.04560008832946892,0.2973390747488131,0.657060836921718
~19067~,0.03533610945865556,0.020226055919095775,0.9444378346222486
~19068~,0.02212634140944795,0.0829737802854298,0.8948998783051223
~19069~,0.05555555555555556,0.19444444444444442,0.75
~19070~,0.00032006828123332977,0.03520751093566627,0.9644724207831004
~19071~,0.08507306889352818,0.32734864300626304,0.5875782881002087
~19074~,0.05128205128205127,0.0903010033444816,0.8584169453734671
~19075~,0.0678802500274153,0.2323719706108126,0.6997477793617721
~19076~,0.0171650653136133,0.03573356364028932,0.9471013710460974
~19077~,0.12604166666666666,0.496875,0.3770833333333334
~19078~,0.15065754865860073,0.5503419253024724,0.2990005260389269
~19079~,0.06063423200082636,0.278896808180973,0.6604689598182005
~19080~,0.04281345565749236,0.30581039755351686,0.6513761467889908
~19081~,0.03959390862944162,0.3472081218274112,0.6131979695431472
~19083~,0.023939064200217627,0.10119695321001088,0.8748639825897715
~19084~,0.12475247524752475,0.3869723814486712,0.48827514330380406
~19085~,0.02236908998474835,0.2953736654804271,0.6822572445348246
~19086~,0.19267214150347442,0.31375026321330807,0.49357759528321754
~19087~,0.06039094650205761,0.3301440329218107,0.6094650205761317
~19088~,0.12234450985410801,0.12362426414128487,0.7540312260046071
~19089~,0.08335317932841153,0.38580614432007626,0.5308406763515123
~19090~,0.10432569974554708,0.33078880407124683,0.5648854961832062
~19091~,0.02423907028223575,0.07935805201992253,0.8964028776978418
~19092~,0.02728027517494959,0.031313011505159534,0.9414067133198909
~19093~,0.0876506334328973,0.31486249871253474,0.5974868678545678
~19094~,0.14454371410338226,0.12858966177409062,0.7268666241225271
~19095~,0.09186351706036745,0.2887139107611548,0.6194225721784777
~19096~,0.1672354948805461,0.08873720136518772,0.7440273037542662
~19097~,0.032835820895522394,0.05970149253731343,0.9074626865671641
~19098~,0.09199497066219614,0.251257334450964,0.6567476948868399
~19099~,0.0,0.00021459227467811158,0.999785407725322
~19100~,0.02670391061452514,0.11631284916201118,0.8569832402234637
~19101~,0.047889787885414384,0.20697572709381148,0.7451344850207741
~19102~,0.04289605083976395,0.07478438492964139,0.8823195642305945
~19103~,0.011844331641285956,0.06147772137619853,0.9266779469825155
~19104~,0.03285870755750274,0.14994523548740415,0.8171960569550931
~19105~,0.10031023784901758,0.35160289555325747,0.5480868665977249
~19106~,0.0,0.0,1.0
~19107~,0.0,0.0020366598778004076,0.9979633401221996
~19108~,0.0,0.0005341880341880342,0.999465811965812
~19109~,0.06705118961788031,0.26768977237614583,0.6652590380059739
~19110~,0.0678695919622719,0.27250358827147836,0.6596268197662498
~19111~,0.05882352941176471,0.23529411764705885,0.7058823529411765
~19112~,0.030461684911946695,0.02760590195145169,0.9419324131366017
~19113~,0.0,0.0012410369553226693,0.9987589630446773
~19114~,0.13196093956188967,0.18975983108999736,0.6782792293481129
~19115~,0.08635394456289977,0.24520255863539442,0.6684434968017057
~19116~,0.021608643457382955,0.0024009603841536617,0.9759903961584634
~19117~,0.13216931216931216,0.22772486772486772,0.6401058201058202
~19118~,0.08004158004158005,0.23908523908523907,0.6808731808731808
~19119~,0.07861635220125786,0.2882599580712788,0.6331236897274632
~19120~,0.07910247130596629,0.30669010443594247,0.6142074242580912
~19121~,0.1140495867768595,0.07024793388429752,0.815702479338843
~19122~,0.12575888985255854,0.07502168256721596,0.7992194275802256
~19123~,0.13146911519198665,0.08013355592654424,0.7883973288814691
~19124~,0.03766556291390728,0.1613203642384106,0.8010140728476821
~19125~,0.05548717948717949,0.3049230769230769,0.6395897435897436
~19126~,0.13603322949117339,0.347871235721703,0.5160955347871236
~19127~,0.04696449026345933,0.1695303550973654,0.7835051546391752
~19128~,0.0,0.0,1.0
~19129~,0.0,0.0,1.0
~19130~,0.1333056046584174,0.39991681397525214,0.46677758136633046
~19132~,0.09297520661157026,0.35537190082644626,0.5516528925619835
~19134~,0.07902358295407529,0.30378568473314027,0.6171907323127844
~19135~,0.04339357212422898,0.18645168271832055,0.7701547451574505
~19136~,0.032191710377455524,0.3123521546847681,0.6554561349377764
~19137~,0.0030030030030030034,0.0015015015015015017,0.9954954954954955
~19138~,0.07318797878609311,0.397878609310548,0.528933411903359
~19139~,0.045986535473847755,0.27084412221646814,0.6831693423096841
~19140~,0.09950093574547722,0.2716781035558328,0.6288209606986899
~19141~,0.044800827728918774,0.21862390067252974,0.7365752715985514
~19142~,0.05106571936056837,0.2952930728241563,0.6536412078152752
~19143~,0.10453104224199652,0.33967474685486343,0.55579421090314
~19144~,0.026939655172413795,0.20829741379310343,0.7647629310344828
~19145~,0.05102040816326531,0.2653061224489796,0.6836734693877551
~19146~,0.04951315516884193,0.24197223948622332,0.7085146053449347
~19147~,0.16045548654244307,0.3488612836438924,0.49068322981366463
~19148~,0.07741077819817978,0.1940893751917374,0.7284998466100828
~19149~,0.04761904761904762,0.18398268398268397,0.7683982683982683
~19150~,0.10652241755955477,0.3175907625091023,0.5758868199313429
~19151~,0.12833453496755587,0.25512411164898546,0.6165413533834586
~19152~,0.054065559812686244,0.22275436355896125,0.7231800766283525
~19153~,0.017937701396348014,0.12781954887218047,0.8542427497314716
~19154~,0.12184873949579833,0.3497899159663866,0.5283613445378151
~19155~,0.08106362364086554,0.2567553019700721,0.6621810743890623
~19156~,0.004496107029279526,0.09003180173264613,0.9054720912380743
~19157~,0.04951315516884193,0.24197223948622332,0.7085146053449347
~19159~,0.02792096219931272,0.13692010309278352,0.8351589347079038
~19160~,0.051924703891708966,0.26279610829103217,0.6852791878172588
~19161~,0.09563496197520574,0.3403479529117616,0.5640170851130326
~19162~,0.08467614533965245,0.2493944181147973,0.6659294365455504
~19163~,0.0,0.003092783505154639,0.9969072164948454
~19164~,0.05628365335771614,0.3291679366046937,0.6145484100375902
~19165~,0.21491228070175442,0.15021929824561406,0.6348684210526316
~19166~,0.2022346368715084,0.14636871508379887,0.6513966480446927
~19168~,0.24368932038834948,0.22233009708737864,0.5339805825242718
~19169~,0.07180020811654528,0.06659729448491156,0.8616024973985432
~19170~,0.1559202813599062,0.15631105900742476,0.687768659632669
~19171~,0.2222222222222222,0.1111111111111111,0.6666666666666666
~19172~,0.07934893184130214,0.0,0.9206510681586979
~19173~,0.07916937053861128,0.0,0.9208306294613887
~19175~,0.1634334584897789,0.0,0.836566541510221
~19176~,0.16435643564356436,0.0,0.8356435643564356
~19177~,0.9988331388564762,0.0011668611435239208,0.0
~19181~,0.019616486665197268,0.08067004628609215,0.8997134670487107
~19182~,0.11433305716652857,0.44186688760011045,0.44380005523336097
~19183~,0.07037037037037036,0.15488215488215484,0.7747474747474747
~19184~,0.024972855591748097,0.02062975027144408,0.9543973941368078
~19185~,0.124,0.124,0.752
~19186~,0.048584119933370355,0.0952248750694059,0.8561910049972239
~19187~,0.0,0.0,1.0
~19188~,0.027659574468085108,0.022340425531914895,0.95
~19189~,0.12177263969171483,0.1213872832369942,0.7568400770712909
~19190~,0.13067729083665336,0.08207171314741035,0.7872509960159363
~19191~,0.11885245901639345,0.0942622950819672,0.7868852459016393
~19193~,0.13588557004627683,0.09045014724442574,0.7736642827092974
~19194~,0.028723404255319152,0.0010638297872340426,0.9702127659574469
~19195~,0.12149532710280374,0.10542056074766354,0.7730841121495327
~19198~,0.0010582010582010583,0.0010582010582010583,0.9978835978835978
~19199~,0.11287758346581875,0.11486486486486487,0.7722575516693163
~19201~,0.052102048149478976,0.13582464965864174,0.8120733021918792
~19202~,0.0,0.006417112299465241,0.9935828877005348
~19203~,0.10671936758893283,0.11462450592885376,0.7786561264822135
~19204~,0.11187677340899878,0.06931495743818403,0.8188082691528172
~19205~,0.16809116809116809,0.11518111518111518,0.7167277167277167
~19206~,0.003184713375796178,0.004246284501061571,0.9925690021231423
~19207~,0.11372867587327375,0.11779041429731925,0.768480909829407
~19208~,0.12786630392537895,0.06335017489312088,0.8087835211815002
~19209~,0.11945250933222729,0.06926586478639568,0.811281625881377
~19212~,0.12672413793103446,0.07456896551724138,0.7987068965517241
~19213~,0.17261587639850823,0.10974960042621203,0.7176345231752796
~19214~,0.1782178217821782,0.1030867792661619,0.7186953989516598
~19216~,0.037166347561662344,0.2916995157112287,0.6711341367271089
~19217~,0.07352941176470588,0.014705882352941178,0.911764705882353
~19218~,0.07085755813953487,0.14098837209302323,0.7881540697674418
~19219~,0.13247863247863248,0.10683760683760685,0.7606837606837608
~19220~,0.024691358024691357,0.033950617283950615,0.941358024691358
~19221~,0.1609657947686117,0.16800804828973842,0.6710261569416499
~19222~,0.0,0.0,1.0
~19223~,0.16548334243582738,0.16766794101583832,0.6668487165483342
~19225~,0.0478468899521531,0.004784688995215311,0.9473684210526315
~19226~,0.013431013431013432,0.2148962148962149,0.7716727716727717
~19227~,0.01918158567774936,0.3069053708439898,0.6739130434782609
~19228~,0.0011803588290840417,0.2042020774315392,0.7946175637393768
~19230~,0.0,0.19293865905848787,0.807061340941512
~19231~,0.1270718232044199,0.07309817254568635,0.7998300042498937
~19232~,0.11977263499796997,0.1218026796589525,0.7584246853430776
~19233~,0.09107303877366997,0.0,0.9089269612263301
~19234~,0.062337662337662345,0.015151515151515152,0.9225108225108225
~19235~,0.08354978354978354,0.012987012987012986,0.9034632034632034
~19236~,0.1004011932928711,0.3675547783149882,0.5320440283921407
~19238~,0.11767147452526719,0.30974369617100755,0.5725848293037252
~19239~,0.11729229489445772,0.3336799417697827,0.5490277633357595
~19240~,0.013197969543147208,0.05279187817258883,0.934010152284264
~19241~,0.012911480749098524,0.15191345818308713,0.8351750610678144
~19243~,0.04032340599733906,0.3109200695936956,0.6487565244089653
